seed,model,split,accuracy,balanced_accuracy,f1,auc,auprc,c_index
7,Logistic,validation,0.6458333333333334,0.6458333333333333,0.6382978723404256,0.6684027777777778,0.6783580591005127,0.5616835994194485
7,Logistic,test,0.4583333333333333,0.4583333333333333,0.5,0.46701388888888895,0.5051827031999474,0.4817073170731707
7,RandomForest,validation,0.6875,0.6875,0.6511627906976745,0.7118055555555556,0.8012158666215683,0.5457184325108854
7,RandomForest,test,0.6041666666666666,0.6041666666666667,0.5957446808510638,0.6388888888888888,0.6501210839622354,0.524390243902439
7,MLP,validation,0.6458333333333334,0.6458333333333333,0.6046511627906976,0.6753472222222221,0.7773086349402845,0.5616835994194485
7,MLP,test,0.5625,0.5625,0.5882352941176471,0.623263888888889,0.6204598720363762,0.5414634146341464
7,GraphNet,validation,0.7083333333333334,0.7083333333333333,0.6818181818181818,0.7222222222222222,0.8044905255060739,0.5776487663280117
7,GraphNet,test,0.5,0.5,0.5384615384615384,0.5677083333333334,0.575389628117928,0.5024390243902439
7,SimplicialNet,validation,0.7291666666666666,0.7291666666666666,0.7111111111111111,0.7152777777777777,0.7975742591917635,0.5820029027576198
7,SimplicialNet,test,0.625,0.625,0.625,0.6423611111111112,0.6171963226341335,0.526829268292683
19,Logistic,validation,0.5625,0.5625,0.5882352941176471,0.6197916666666666,0.6317085295187235,0.5508684863523573
19,Logistic,test,0.5833333333333334,0.5833333333333333,0.6,0.5954861111111112,0.6386706923955167,0.4650856389986825
19,RandomForest,validation,0.6041666666666666,0.6041666666666666,0.5128205128205128,0.671875,0.7144237023058617,0.5831265508684863
19,RandomForest,test,0.6666666666666666,0.6666666666666667,0.6,0.671875,0.7601037932502417,0.5586297760210803
19,MLP,validation,0.6041666666666666,0.6041666666666666,0.5128205128205128,0.6493055555555556,0.6697791584303132,0.5310173697270472
19,MLP,test,0.5833333333333334,0.5833333333333333,0.5454545454545454,0.6840277777777778,0.7408883156096531,0.5349143610013175
19,GraphNet,validation,0.5833333333333334,0.5833333333333334,0.5,0.6892361111111112,0.6864047940463818,0.5632754342431762
19,GraphNet,test,0.625,0.625,0.5909090909090909,0.6875,0.7574837040245197,0.5428194993412385
19,SimplicialNet,validation,0.6458333333333334,0.6458333333333334,0.5405405405405406,0.701388888888889,0.6900322243451054,0.5732009925558312
19,SimplicialNet,test,0.6458333333333334,0.6458333333333333,0.5853658536585366,0.6996527777777778,0.7502502200787416,0.5480895915678524
31,Logistic,validation,0.5416666666666666,0.5416666666666667,0.56,0.5850694444444444,0.621197488253409,0.5597315436241611
31,Logistic,test,0.5833333333333334,0.5833333333333333,0.5652173913043478,0.6336805555555555,0.7132052092835738,0.6090468497576736
31,RandomForest,validation,0.625,0.625,0.6086956521739131,0.6545138888888888,0.6774300376942306,0.640268456375839
31,RandomForest,test,0.6041666666666666,0.6041666666666667,0.4864864864864865,0.7847222222222223,0.7986273394978564,0.7221324717285945
31,MLP,validation,0.625,0.625,0.6086956521739131,0.6736111111111112,0.7260667314378322,0.661744966442953
31,MLP,test,0.5833333333333334,0.5833333333333333,0.47368421052631576,0.7083333333333334,0.7540898958966935,0.6833602584814217
31,GraphNet,validation,0.6458333333333334,0.6458333333333334,0.6222222222222222,0.7118055555555555,0.7077407456294106,0.6550335570469799
31,GraphNet,test,0.625,0.625,0.5,0.7552083333333333,0.7872526946303562,0.7415185783521809
31,SimplicialNet,validation,0.625,0.625,0.6086956521739131,0.6961805555555556,0.6916244853720904,0.6510067114093959
31,SimplicialNet,test,0.625,0.625,0.5,0.7552083333333333,0.7968397327533404,0.7544426494345718
